latitude,longitude,datetime,confidence,date,surface_temperature_celcius
-37.9004,141.6783,2018-05-23T00:54:50,68,23-05-18,44
-37.9022,141.6787,2018-05-23T00:54:50,81,23-05-18,55
-36.6396,141.6816,2018-05-22T15:30:20,66,22-05-18,36
-36.8323,141.6846,2018-05-22T04:43:30,80,22-05-18,53
-36.7889,141.6868,2018-05-22T04:42:20,59,22-05-18,49
-36.4794,141.6875,2018-05-22T04:38:50,63,22-05-18,41
-37.6198,141.6878,2018-05-22T04:37:20,52,22-05-18,38
-36.606,141.6896,2018-05-22T04:35:50,73,22-05-18,55
-37.4857,141.6923,2018-05-22T04:34:50,58,22-05-18,40
-36.477,141.6938,2018-05-22T04:34:10,100,22-05-18,101
-36.4767,141.6939,2018-05-22T04:34:10,72,22-05-18,47
-38.3871,141.6948,2018-05-22T04:34:00,78,22-05-18,51
-37.4976,141.6955,2018-05-22T04:33:10,74,22-05-18,48
-36.7842,141.6962,2018-05-22T04:32:50,53,22-05-18,39
-38.1647,141.6999,2018-05-22T04:32:20,71,22-05-18,45
-36.4858,141.7008,2018-05-22T04:32:20,76,22-05-18,50
-36.4909,141.7032,2018-05-22T04:32:20,73,22-05-18,47
-36.5708,141.7061,2018-05-22T04:32:20,76,22-05-18,50
-36.7783,141.7071,2018-05-22T04:32:20,70,22-05-18,56
-36.7746,141.7076,2018-05-22T04:32:20,91,22-05-18,68
-36.7855,141.708,2018-05-22T04:32:20,76,22-05-18,55
-36.8359,141.7102,2018-05-22T04:32:20,96,22-05-18,78
-36.7871,141.7112,2018-05-22T04:32:20,65,22-05-18,42
-37.5158,141.712,2018-05-22T04:32:20,64,22-05-18,42
-37.9085,141.7141,2018-05-22T04:32:20,98,22-05-18,82
